feedback_id,atendimento_id,data_feedback,socorrista_id,nps_score,feedback_texto,tipo_problema
FB0533,AT1077,09/09/2024,SOC239,10,Comunicação entre socorristas foi boa.,Nenhum problema
FB0534,AT3908,31/05/2025,SOC080,7,Atendimento rápido e organizado.,Nenhum problema
FB0535,AT1679,01/01/2025,SOC211,10,Resposta rápida e comunicação clara.,Nenhum problema
FB0536,AT1065,20/09/2024,SOC003,9,Procedimento padrão seguido corretamente.,Nenhum problema
FB0537,AT7959,04/08/2026,SOC053,1,Paciente sofreu morte acidental no local.,Morte acidental
FB0538,AT1613,15/11/2024,SOC165,6,Kit de emergência incompleto na viatura.,Falta de equipamento
FB0539,AT2965,17/03/2025,SOC074,7,Atendimento rápido e organizado.,Nenhum problema
FB0540,AT3530,02/05/2025,SOC160,8,Boa integração entre as equipes.,Nenhum problema
FB0541,AT7572,10/07/2026,SOC188,7,Excelente coordenação entre viatura e hospital.,Nenhum problema
FB0542,AT5561,28/12/2025,SOC216,3,Comunicação com a central apresentou ruído.,Falha de comunicação
FB0543,AT1949,10/12/2024,SOC286,4,Falha no repasse de dados entre equipes.,Falha de comunicação
FB0544,AT0575,26/03/2025,SOC155,10,Comunicação entre socorristas foi boa.,Nenhum problema
FB0545,AT4147,23/06/2025,SOC032,2,Falha no repasse de dados entre equipes.,Falha de comunicação
FB0546,AT6727,02/06/2026,SOC289,7,Chegada rápida evitou agravamento do quadro.,Nenhum problema
FB0547,AT4098,25/06/2025,SOC268,3,Comunicação com a central apresentou ruído.,Falha de comunicação
FB0548,AT5173,27/10/2025,SOC092,9,Comunicação entre socorristas foi boa.,Nenhum problema
FB0549,AT7668,16/08/2026,SOC141,2,Paciente sofreu morte acidental no local.,Morte acidental
FB0550,AT4886,18/09/2025,SOC043,2,Paciente sofreu morte acidental no local.,Morte acidental
FB0551,AT7772,31/08/2026,SOC129,8,Atendimento rápido e organizado.,Nenhum problema
FB0552,AT6039,26/02/2026,SOC145,10,Boa integração entre as equipes.,Nenhum problema
FB0553,AT4465,14/07/2025,SOC078,8,Comunicação eficiente durante a ocorrência.,Nenhum problema
FB0554,AT3743,14/05/2025,SOC182,2,Houve dificuldade de comunicação com o hospital.,Falha de comunicação
FB0555,AT7655,28/08/2026,SOC068,3,Tempo de deslocamento acima do esperado.,Demora no atendimento
FB0556,AT4589,06/07/2025,SOC297,7,Resposta rápida e comunicação clara.,Nenhum problema
FB0557,AT7416,15/07/2026,SOC214,5,Falta de insumo básico dificultou o procedimento.,Falta de equipamento
FB0558,AT2065,31/12/2024,SOC192,9,Comunicação entre socorristas foi boa.,Nenhum problema
FB0559,AT1831,10/12/2024,SOC290,5,Faltou equipamento durante o atendimento.,Falta de equipamento
FB0560,AT4959,18/09/2025,SOC258,8,Comunicação entre socorristas foi boa.,Nenhum problema
FB0561,AT2331,20/01/2025,SOC288,2,Gravidade do caso impossibilitou reanimação.,Morte acidental
FB0562,AT6154,22/02/2026,SOC012,5,Ocorrência apresentou atraso significativo.,Demora no atendimento
FB0563,AT6164,09/02/2026,SOC041,7,Equipe demonstrou grande eficiência.,Nenhum problema
FB0564,AT4398,06/07/2025,SOC110,5,Houve dificuldade de comunicação com o hospital.,Falha de comunicação
FB0565,AT7235,06/06/2026,SOC009,6,Houve pequena demora para localizar o hospital.,Demora no atendimento
FB0566,AT7482,04/07/2026,SOC159,7,Comunicação entre socorristas foi boa.,Nenhum problema
FB0567,AT0451,13/11/2024,SOC233,3,Fila no pronto-socorro atrasou o atendimento.,Demora no atendimento
FB0568,AT7514,05/07/2026,SOC219,8,Atendimento ocorreu sem complicações.,Nenhum problema
FB0569,AT5802,03/01/2026,SOC222,10,Suporte adequado durante todo o atendimento.,Nenhum problema
FB0570,AT4280,09/07/2025,SOC048,5,Faltou equipamento durante o atendimento.,Falta de equipamento
FB0571,AT5178,19/10/2025,SOC107,7,Ótima triagem e encaminhamento adequado.,Nenhum problema
FB0572,AT7046,05/06/2026,SOC253,1,Paciente não resistiu aos ferimentos.,Morte acidental
FB0573,AT2233,21/01/2025,SOC251,8,Atendimento organizado e seguro.,Nenhum problema
FB0574,AT0181,18/07/2026,SOC258,9,Encaminhamento hospitalar foi eficiente.,Nenhum problema
FB0575,AT4533,29/07/2025,SOC161,5,Equipamento necessário não estava disponível.,Falta de equipamento
FB0576,AT4905,03/09/2025,SOC191,2,Óbito constatado apesar dos esforços da equipe.,Morte acidental
FB0577,AT6063,04/02/2026,SOC204,9,Excelente coordenação entre viatura e hospital.,Nenhum problema
FB0578,AT7398,22/07/2026,SOC177,10,Equipe cordial e atenciosa com o paciente.,Nenhum problema
FB0579,AT2045,24/12/2024,SOC050,1,Óbito constatado apesar dos esforços da equipe.,Morte acidental
FB0580,AT1842,02/01/2025,SOC276,8,Suporte adequado durante todo o atendimento.,Nenhum problema
FB0581,AT4867,25/09/2025,SOC067,7,Boa integração entre as equipes.,Nenhum problema
FB0582,AT0633,12/05/2025,SOC291,10,Atendimento excelente do início ao fim.,Nenhum problema
FB0583,AT1566,08/11/2024,SOC143,8,Equipe atuou rapidamente no local.,Nenhum problema
FB0584,AT1189,17/10/2024,SOC129,7,Encaminhamento hospitalar foi eficiente.,Nenhum problema
FB0585,AT1050,27/09/2024,SOC050,1,Gravidade do caso impossibilitou reanimação.,Morte acidental
FB0586,AT3950,08/05/2025,SOC178,7,Suporte adequado durante todo o atendimento.,Nenhum problema
FB0587,AT6513,09/04/2026,SOC055,8,Equipe ágil e excelente suporte hospitalar.,Nenhum problema
FB0588,AT5917,15/01/2026,SOC261,10,Procedimento padrão seguido corretamente.,Nenhum problema
FB0589,AT6238,11/03/2026,SOC219,10,Procedimento realizado de forma segura.,Nenhum problema
FB0590,AT3563,10/04/2025,SOC208,10,Comunicação entre socorristas foi boa.,Nenhum problema
FB0591,AT2012,27/12/2024,SOC170,10,Equipe demonstrou grande eficiência.,Nenhum problema
FB0592,AT4467,01/08/2025,SOC286,8,Equipe atuou rapidamente no local.,Nenhum problema
FB0593,AT3095,02/04/2025,SOC160,5,Falha no repasse de dados entre equipes.,Falha de comunicação
FB0594,AT3562,06/04/2025,SOC067,1,Gravidade do caso impossibilitou reanimação.,Morte acidental
FB0595,AT3052,20/03/2025,SOC077,5,Demora para liberar leito hospitalar.,Demora no atendimento
FB0596,AT3885,11/05/2025,SOC273,9,Equipe ágil e excelente suporte hospitalar.,Nenhum problema
FB0597,AT2037,18/12/2024,SOC009,6,Fila no pronto-socorro atrasou o atendimento.,Demora no atendimento
FB0598,AT7245,22/06/2026,SOC271,10,Equipe atuou rapidamente no local.,Nenhum problema
FB0599,AT0094,31/03/2026,SOC014,6,Falta de insumo básico dificultou o procedimento.,Falta de equipamento
FB0600,AT0897,19/01/2026,SOC297,7,Demora na regulação do leito hospitalar.,Demora no atendimento
FB0601,AT6846,29/05/2026,SOC085,7,Procedimento ocorreu conforme planejado.,Nenhum problema
FB0602,AT7800,25/08/2026,SOC172,9,Bom trabalho em equipe durante o socorro.,Nenhum problema
FB0603,AT7587,03/07/2026,SOC225,5,Informações do chamado estavam incompletas.,Falha de comunicação
FB0604,AT1319,15/10/2024,SOC139,2,Comunicação com a central apresentou ruído.,Falha de comunicação
FB0605,AT6700,20/04/2026,SOC215,7,Suporte adequado durante todo o atendimento.,Nenhum problema
FB0606,AT1394,18/11/2024,SOC293,7,Equipe atuou rapidamente no local.,Nenhum problema
FB0607,AT5837,19/12/2025,SOC135,9,Atendimento rápido e organizado.,Nenhum problema
FB0608,AT7754,20/08/2026,SOC300,8,Paciente estabilizado rapidamente pela equipe.,Nenhum problema
FB0609,AT6159,18/02/2026,SOC298,10,Bom trabalho em equipe durante o socorro.,Nenhum problema
FB0610,AT7890,04/08/2026,SOC299,1,Paciente sofreu morte acidental no local.,Morte acidental
FB0611,AT6309,28/03/2026,SOC103,10,Equipe atuou rapidamente no local.,Nenhum problema
FB0612,AT7494,25/07/2026,SOC275,6,Ocorrência apresentou atraso significativo.,Demora no atendimento
FB0613,AT4276,16/07/2025,SOC171,9,Excelente coordenação entre viatura e hospital.,Nenhum problema
FB0614,AT5982,13/01/2026,SOC203,9,Equipe atuou rapidamente no local.,Nenhum problema
FB0615,AT3569,18/04/2025,SOC217,8,Resposta rápida e comunicação clara.,Nenhum problema
FB0616,AT7279,11/06/2026,SOC035,2,Gravidade do caso impossibilitou reanimação.,Morte acidental
FB0617,AT6307,11/03/2026,SOC254,10,Procedimento ocorreu conforme planejado.,Nenhum problema
FB0618,AT5258,26/10/2025,SOC152,7,Equipe demonstrou grande eficiência.,Nenhum problema
FB0619,AT7232,05/06/2026,SOC160,7,Boa integração entre as equipes.,Nenhum problema
FB0620,AT7856,28/08/2026,SOC198,9,Procedimento ocorreu conforme planejado.,Nenhum problema
FB0621,AT0707,08/06/2025,SOC104,8,Comunicação eficiente durante a ocorrência.,Nenhum problema
FB0622,AT7754,19/08/2026,SOC102,3,Informações do chamado estavam incompletas.,Falha de comunicação
FB0623,AT5150,13/10/2025,SOC084,8,Comunicação entre socorristas foi boa.,Nenhum problema
FB0624,AT5337,10/10/2025,SOC229,10,Encaminhamento hospitalar foi eficiente.,Nenhum problema
FB0625,AT7399,02/08/2026,SOC060,1,Paciente não resistiu aos ferimentos.,Morte acidental
FB0626,AT0237,07/08/2026,SOC071,9,Boa integração entre as equipes.,Nenhum problema
FB0627,AT2060,15/12/2024,SOC122,3,Tempo de deslocamento acima do esperado.,Demora no atendimento
FB0628,AT0581,29/03/2025,SOC084,10,Chegada rápida evitou agravamento do quadro.,Nenhum problema
FB0629,AT2929,12/03/2025,SOC156,7,Ocorrência apresentou atraso significativo.,Demora no atendimento
FB0630,AT5269,29/10/2025,SOC251,7,Equipe cordial e atenciosa com o paciente.,Nenhum problema
FB0631,AT4072,21/06/2025,SOC108,2,Paciente sofreu morte acidental no local.,Morte acidental
FB0632,AT2806,12/02/2025,SOC131,6,Ambulância sem parte do material necessário.,Falta de equipamento
FB0633,AT7017,27/06/2026,SOC093,7,Ótima triagem e encaminhamento adequado.,Nenhum problema
FB0634,AT4156,18/06/2025,SOC064,7,Equipe atuou rapidamente no local.,Nenhum problema
FB0635,AT4996,03/10/2025,SOC122,6,Falta de insumo básico dificultou o procedimento.,Falta de equipamento
FB0636,AT1719,11/12/2024,SOC122,10,Ótima triagem e encaminhamento adequado.,Nenhum problema
FB0637,AT2671,03/02/2025,SOC111,10,Encaminhamento hospitalar foi eficiente.,Nenhum problema
FB0638,AT2203,07/01/2025,SOC057,10,Boa integração entre as equipes.,Nenhum problema
FB0639,AT5687,08/12/2025,SOC033,9,Equipe cordial e atenciosa com o paciente.,Nenhum problema
FB0640,AT3804,03/05/2025,SOC110,2,Óbito constatado apesar dos esforços da equipe.,Morte acidental
FB0641,AT7403,12/07/2026,SOC127,7,Demora para liberar leito hospitalar.,Demora no atendimento
FB0642,AT7961,16/08/2026,SOC240,7,Equipe demonstrou grande eficiência.,Nenhum problema
FB0643,AT6726,20/05/2026,SOC144,2,Paciente sofreu morte acidental no local.,Morte acidental
FB0644,AT2874,29/03/2025,SOC031,10,Atendimento rápido e equipe bem preparada.,Nenhum problema
FB0645,AT5207,29/10/2025,SOC275,6,Demora na regulação do leito hospitalar.,Demora no atendimento
FB0646,AT6368,25/03/2026,SOC077,10,Comunicação eficiente durante a ocorrência.,Nenhum problema
FB0647,AT1235,25/10/2024,SOC074,9,Equipe atuou rapidamente no local.,Nenhum problema
FB0648,AT4696,04/08/2025,SOC227,7,Suporte adequado durante todo o atendimento.,Nenhum problema
FB0649,AT6885,08/05/2026,SOC197,7,Procedimento realizado de forma segura.,Nenhum problema
FB0650,AT4269,27/07/2025,SOC276,1,Paciente não resistiu aos ferimentos.,Morte acidental
FB0651,AT1493,12/11/2024,SOC165,4,Kit de emergência incompleto na viatura.,Falta de equipamento
FB0652,AT1647,03/12/2024,SOC203,6,Atendimento adequado apesar da espera.,Demora no atendimento
FB0653,AT5948,16/01/2026,SOC268,4,Falta de insumo básico dificultou o procedimento.,Falta de equipamento
FB0654,AT6939,01/06/2026,SOC143,5,Houve dificuldade de comunicação com o hospital.,Falha de comunicação
FB0655,AT5749,11/12/2025,SOC144,7,Paciente estabilizado rapidamente pela equipe.,Nenhum problema
FB0656,AT6193,04/03/2026,SOC068,3,Falha no repasse de dados entre equipes.,Falha de comunicação
FB0657,AT6043,20/02/2026,SOC080,8,Suporte adequado durante todo o atendimento.,Nenhum problema
FB0658,AT7075,21/06/2026,SOC189,1,Óbito constatado apesar dos esforços da equipe.,Morte acidental
FB0659,AT6946,23/05/2026,SOC157,7,Comunicação eficiente durante a ocorrência.,Nenhum problema
FB0660,AT3835,23/05/2025,SOC117,6,Espera prolongada para triagem no hospital.,Demora no atendimento
FB0661,AT3856,27/05/2025,SOC069,7,Bom trabalho em equipe durante o socorro.,Nenhum problema
FB0662,AT6614,17/04/2026,SOC078,4,Tempo de deslocamento acima do esperado.,Demora no atendimento
FB0663,AT1732,19/12/2024,SOC084,8,Procedimento ocorreu conforme planejado.,Nenhum problema
FB0664,AT7781,01/08/2026,SOC195,4,Fila no pronto-socorro atrasou o atendimento.,Demora no atendimento
FB0665,AT5977,14/01/2026,SOC129,10,Encaminhamento hospitalar foi eficiente.,Nenhum problema
FB0666,AT6405,03/03/2026,SOC168,10,Suporte adequado durante todo o atendimento.,Nenhum problema
FB0667,AT6591,03/04/2026,SOC236,7,Excelente coordenação entre viatura e hospital.,Nenhum problema
FB0668,AT6531,29/04/2026,SOC058,4,Ambulância sem parte do material necessário.,Falta de equipamento
FB0669,AT4681,01/08/2025,SOC054,2,Paciente sofreu morte acidental no local.,Morte acidental
FB0670,AT1587,12/11/2024,SOC018,7,Equipe preparada para situação crítica.,Nenhum problema
FB0671,AT7776,29/08/2026,SOC084,10,Boa integração entre as equipes.,Nenhum problema
FB0672,AT4743,12/08/2025,SOC113,8,Boa integração entre as equipes.,Nenhum problema
FB0673,AT4975,13/09/2025,SOC063,8,Procedimento padrão seguido corretamente.,Nenhum problema
FB0674,AT3263,15/03/2025,SOC107,8,Resposta rápida e comunicação clara.,Nenhum problema
FB0675,AT6268,19/03/2026,SOC068,9,Atendimento rápido e equipe bem preparada.,Nenhum problema
FB0676,AT7001,27/05/2026,SOC010,7,"Atendimento tranquilo, sem intercorrências.",Nenhum problema
FB0677,AT5835,31/12/2025,SOC108,10,Equipe preparada para situação crítica.,Nenhum problema
FB0678,AT4940,03/10/2025,SOC272,9,Procedimento realizado de forma segura.,Nenhum problema
FB0679,AT7844,14/08/2026,SOC235,8,Equipe preparada para situação crítica.,Nenhum problema
FB0680,AT7163,28/06/2026,SOC073,1,Paciente não resistiu aos ferimentos.,Morte acidental
FB0681,AT3108,28/03/2025,SOC136,9,Excelente coordenação entre viatura e hospital.,Nenhum problema
FB0682,AT7377,01/08/2026,SOC131,8,Procedimento ocorreu conforme planejado.,Nenhum problema
FB0683,AT0999,05/08/2026,SOC069,7,Encaminhamento hospitalar foi eficiente.,Nenhum problema
FB0684,AT1654,05/12/2024,SOC207,5,Houve dificuldade de comunicação com o hospital.,Falha de comunicação
FB0685,AT0353,24/06/2026,SOC275,7,Resposta rápida e comunicação clara.,Nenhum problema
FB0686,AT0858,27/11/2025,SOC259,3,Tempo de deslocamento acima do esperado.,Demora no atendimento
FB0687,AT0721,19/07/2025,SOC198,2,Falha no repasse de dados entre equipes.,Falha de comunicação
FB0688,AT7615,06/08/2026,SOC170,8,Bom trabalho em equipe durante o socorro.,Nenhum problema
FB0689,AT3173,01/03/2025,SOC094,2,Paciente sofreu morte acidental no local.,Morte acidental
FB0690,AT2439,07/01/2025,SOC187,5,Ambulância sem parte do material necessário.,Falta de equipamento
FB0691,AT2303,21/01/2025,SOC169,5,Falha no repasse de dados entre equipes.,Falha de comunicação
FB0692,AT7032,22/06/2026,SOC097,3,Endereço informado estava impreciso.,Falha de comunicação
FB0693,AT7225,22/06/2026,SOC058,10,Equipe ágil e excelente suporte hospitalar.,Nenhum problema
FB0694,AT5007,25/09/2025,SOC275,10,Bom trabalho em equipe durante o socorro.,Nenhum problema
FB0695,AT5369,13/11/2025,SOC202,7,Atendimento rápido e organizado.,Nenhum problema
FB0696,AT6366,28/03/2026,SOC079,9,Equipe demonstrou excelente preparo.,Nenhum problema
FB0697,AT2613,20/02/2025,SOC072,9,Atendimento organizado e seguro.,Nenhum problema
FB0698,AT6959,16/05/2026,SOC234,5,Ambulância sem parte do material necessário.,Falta de equipamento
FB0699,AT4331,29/07/2025,SOC019,8,Tempo de resposta foi satisfatório.,Nenhum problema
FB0700,AT5651,17/12/2025,SOC292,7,Boa integração entre as equipes.,Nenhum problema
FB0701,AT4103,29/06/2025,SOC062,8,Bom trabalho em equipe durante o socorro.,Nenhum problema
FB0702,AT1720,18/12/2024,SOC061,9,Equipe preparada para situação crítica.,Nenhum problema
FB0703,AT6319,27/03/2026,SOC265,4,Equipamento necessário não estava disponível.,Falta de equipamento
FB0704,AT3982,14/06/2025,SOC198,5,Ambulância sem parte do material necessário.,Falta de equipamento
FB0705,AT1538,12/11/2024,SOC039,8,Ótima triagem e encaminhamento adequado.,Nenhum problema
FB0706,AT6136,25/02/2026,SOC280,9,Comunicação eficiente durante a ocorrência.,Nenhum problema
FB0707,AT4505,23/07/2025,SOC234,10,Tempo de resposta foi satisfatório.,Nenhum problema
FB0708,AT3518,13/04/2025,SOC117,10,Atendimento organizado e seguro.,Nenhum problema
FB0709,AT4105,12/06/2025,SOC152,8,Equipe demonstrou grande eficiência.,Nenhum problema
FB0710,AT2366,31/01/2025,SOC277,7,Suporte adequado durante todo o atendimento.,Nenhum problema
FB0711,AT0585,13/04/2025,SOC275,1,Gravidade do caso impossibilitou reanimação.,Morte acidental
FB0712,AT6601,16/04/2026,SOC064,7,Atendimento rápido e equipe bem preparada.,Nenhum problema
FB0713,AT0743,14/08/2025,SOC028,1,Gravidade do caso impossibilitou reanimação.,Morte acidental
FB0714,AT1589,26/11/2024,SOC258,10,Atendimento rápido e organizado.,Nenhum problema
FB0715,AT4156,20/06/2025,SOC029,9,Equipe cordial e atenciosa com o paciente.,Nenhum problema
FB0716,AT3585,26/04/2025,SOC293,2,Houve dificuldade de comunicação com o hospital.,Falha de comunicação
FB0717,AT4211,28/07/2025,SOC183,7,Equipe ágil e excelente suporte hospitalar.,Nenhum problema
FB0718,AT6974,02/06/2026,SOC202,9,Excelente coordenação entre viatura e hospital.,Nenhum problema
FB0719,AT7812,28/08/2026,SOC027,6,Kit de emergência incompleto na viatura.,Falta de equipamento
FB0720,AT3587,21/04/2025,SOC261,4,Atendimento adequado apesar da espera.,Demora no atendimento
FB0721,AT7828,27/08/2026,SOC061,1,Paciente não resistiu aos ferimentos.,Morte acidental
FB0722,AT1159,23/09/2024,SOC174,9,Ocorrência conduzida com muita competência.,Nenhum problema
FB0723,AT0662,18/05/2025,SOC249,7,Atendimento rápido e equipe bem preparada.,Nenhum problema
FB0724,AT5834,07/12/2025,SOC146,7,Excelente coordenação entre viatura e hospital.,Nenhum problema
FB0725,AT0672,29/06/2025,SOC276,1,Paciente sofreu morte acidental no local.,Morte acidental
FB0726,AT1709,20/12/2024,SOC300,8,Chegada rápida evitou agravamento do quadro.,Nenhum problema
FB0727,AT2201,11/01/2025,SOC164,3,Informações do chamado estavam incompletas.,Falha de comunicação
FB0728,AT7359,21/06/2026,SOC125,10,Bom trabalho em equipe durante o socorro.,Nenhum problema
FB0729,AT2730,09/02/2025,SOC199,10,Procedimento ocorreu conforme planejado.,Nenhum problema
FB0730,AT5007,24/09/2025,SOC238,7,Comunicação eficiente durante a ocorrência.,Nenhum problema
FB0731,AT1817,06/12/2024,SOC235,4,Ambulância sem parte do material necessário.,Falta de equipamento
FB0732,AT1923,07/12/2024,SOC047,5,Fila no pronto-socorro atrasou o atendimento.,Demora no atendimento
FB0733,AT4443,09/07/2025,SOC081,5,Kit de emergência incompleto na viatura.,Falta de equipamento
FB0734,AT7066,17/06/2026,SOC064,3,Tempo de deslocamento acima do esperado.,Demora no atendimento
FB0735,AT6356,19/03/2026,SOC285,9,"Atendimento tranquilo, sem intercorrências.",Nenhum problema
FB0736,AT4523,31/07/2025,SOC142,9,Resposta rápida e comunicação clara.,Nenhum problema
FB0737,AT5923,05/01/2026,SOC070,9,Excelente coordenação entre viatura e hospital.,Nenhum problema
FB0738,AT6038,12/02/2026,SOC162,1,Óbito constatado apesar dos esforços da equipe.,Morte acidental
FB0739,AT4207,05/07/2025,SOC021,7,Equipe atuou rapidamente no local.,Nenhum problema
FB0740,AT2691,05/02/2025,SOC120,9,Bom trabalho em equipe durante o socorro.,Nenhum problema
FB0741,AT2753,21/02/2025,SOC046,2,Endereço informado estava impreciso.,Falha de comunicação
FB0742,AT7596,01/08/2026,SOC064,8,"Atendimento tranquilo, sem intercorrências.",Nenhum problema
FB0743,AT3307,07/04/2025,SOC243,5,Falta de insumo básico dificultou o procedimento.,Falta de equipamento
FB0744,AT4198,01/07/2025,SOC131,7,Tempo de resposta foi satisfatório.,Nenhum problema
FB0745,AT0866,24/11/2025,SOC265,4,Houve espera moderada no hospital.,Demora no atendimento
FB0746,AT6189,07/03/2026,SOC267,10,Excelente coordenação entre viatura e hospital.,Nenhum problema
FB0747,AT6194,01/03/2026,SOC068,2,Paciente sofreu morte acidental no local.,Morte acidental
FB0748,AT6123,14/02/2026,SOC221,5,Faltou equipamento durante o atendimento.,Falta de equipamento
FB0749,AT4424,24/07/2025,SOC180,8,Ótima triagem e encaminhamento adequado.,Nenhum problema
FB0750,AT7688,26/08/2026,SOC182,8,Equipe demonstrou grande eficiência.,Nenhum problema
FB0751,AT5044,14/09/2025,SOC072,10,Suporte adequado durante todo o atendimento.,Nenhum problema
FB0752,AT2124,08/01/2025,SOC202,4,Atendimento adequado apesar da espera.,Demora no atendimento
FB0753,AT5160,08/10/2025,SOC035,4,Informações do chamado estavam incompletas.,Falha de comunicação
FB0754,AT3771,14/05/2025,SOC016,8,Atendimento ocorreu sem complicações.,Nenhum problema
FB0755,AT1994,27/12/2024,SOC130,4,Comunicação com a central apresentou ruído.,Falha de comunicação
FB0756,AT1622,02/01/2025,SOC240,4,Trânsito prejudicou o tempo de chegada.,Demora no atendimento
FB0757,AT0270,18/06/2026,SOC223,8,Atendimento rápido e organizado.,Nenhum problema
FB0758,AT4435,23/07/2025,SOC005,7,Espera prolongada para triagem no hospital.,Demora no atendimento
FB0759,AT2561,13/02/2025,SOC226,5,Houve pequena demora para localizar o hospital.,Demora no atendimento
FB0760,AT0732,15/07/2025,SOC136,5,Ocorrência apresentou atraso significativo.,Demora no atendimento
FB0761,AT0840,15/11/2025,SOC161,4,Faltou equipamento durante o atendimento.,Falta de equipamento
FB0762,AT7321,25/06/2026,SOC128,10,Procedimento padrão seguido corretamente.,Nenhum problema
FB0763,AT6311,10/03/2026,SOC242,8,Atendimento ocorreu sem complicações.,Nenhum problema
FB0764,AT4033,05/06/2025,SOC271,4,Ambulância sem parte do material necessário.,Falta de equipamento
FB0765,AT7797,13/08/2026,SOC278,10,Boa integração entre as equipes.,Nenhum problema
FB0766,AT4822,23/08/2025,SOC212,9,Comunicação eficiente durante a ocorrência.,Nenhum problema
FB0767,AT5328,22/10/2025,SOC212,10,Procedimento padrão seguido corretamente.,Nenhum problema
FB0768,AT2575,12/02/2025,SOC112,8,Tempo de resposta foi satisfatório.,Nenhum problema
FB0769,AT0006,17/02/2026,SOC071,9,Equipe demonstrou grande eficiência.,Nenhum problema
FB0770,AT4967,23/09/2025,SOC045,10,Equipe cordial e atenciosa com o paciente.,Nenhum problema
FB0771,AT6264,30/03/2026,SOC040,7,Paciente estabilizado rapidamente pela equipe.,Nenhum problema
FB0772,AT6549,15/04/2026,SOC041,6,Demora na regulação do leito hospitalar.,Demora no atendimento
FB0773,AT6157,03/02/2026,SOC299,7,Chegada rápida evitou agravamento do quadro.,Nenhum problema
FB0774,AT1775,04/12/2024,SOC038,9,Equipe demonstrou excelente preparo.,Nenhum problema
FB0775,AT4194,13/06/2025,SOC275,4,Informações do chamado estavam incompletas.,Falha de comunicação
FB0776,AT1106,07/09/2024,SOC170,4,Falha no repasse de dados entre equipes.,Falha de comunicação
FB0777,AT7294,16/06/2026,SOC151,5,Equipamento necessário não estava disponível.,Falta de equipamento
FB0778,AT1561,25/11/2024,SOC061,8,Bom trabalho em equipe durante o socorro.,Nenhum problema
FB0779,AT2325,03/01/2025,SOC299,10,Atendimento organizado e seguro.,Nenhum problema
FB0780,AT6658,05/04/2026,SOC058,10,Ocorrência conduzida com muita competência.,Nenhum problema
FB0781,AT1835,03/12/2024,SOC291,7,Equipe ágil e excelente suporte hospitalar.,Nenhum problema
FB0782,AT7271,06/06/2026,SOC179,4,Equipamento necessário não estava disponível.,Falta de equipamento
FB0783,AT5935,29/01/2026,SOC152,4,Equipamento necessário não estava disponível.,Falta de equipamento
FB0784,AT6304,08/03/2026,SOC058,7,Excelente coordenação entre viatura e hospital.,Nenhum problema
FB0785,AT3709,21/05/2025,SOC180,7,Atendimento ocorreu sem complicações.,Nenhum problema
FB0786,AT6777,15/05/2026,SOC275,6,Fila no pronto-socorro atrasou o atendimento.,Demora no atendimento
FB0787,AT7231,30/06/2026,SOC200,9,Atendimento rápido e equipe bem preparada.,Nenhum problema
FB0788,AT2476,31/01/2025,SOC147,1,Paciente sofreu morte acidental no local.,Morte acidental
FB0789,AT6906,26/05/2026,SOC009,8,Equipe cordial e atenciosa com o paciente.,Nenhum problema
FB0790,AT1103,21/09/2024,SOC091,8,Procedimento padrão seguido corretamente.,Nenhum problema
FB0791,AT0601,20/04/2025,SOC083,4,Houve pequena demora para localizar o hospital.,Demora no atendimento
FB0792,AT3101,25/03/2025,SOC299,10,"Atendimento tranquilo, sem intercorrências.",Nenhum problema
FB0793,AT2393,08/01/2025,SOC134,7,Bom trabalho em equipe durante o socorro.,Nenhum problema
FB0794,AT7596,03/08/2026,SOC297,9,Ocorrência conduzida com muita competência.,Nenhum problema
FB0795,AT7562,30/07/2026,SOC257,10,Procedimento realizado de forma segura.,Nenhum problema
FB0796,AT4890,28/09/2025,SOC176,9,Procedimento realizado de forma segura.,Nenhum problema
FB0797,AT5874,26/01/2026,SOC237,10,Bom trabalho em equipe durante o socorro.,Nenhum problema
FB0798,AT3036,31/03/2025,SOC084,7,Atendimento rápido e organizado.,Nenhum problema
FB0799,AT4691,04/08/2025,SOC119,9,Tempo de resposta foi satisfatório.,Nenhum problema
FB0800,AT0359,07/05/2026,SOC264,7,Equipe demonstrou grande eficiência.,Nenhum problema
FB0801,AT2449,14/01/2025,SOC231,4,Faltou equipamento durante o atendimento.,Falta de equipamento
FB0802,AT2473,01/02/2025,SOC213,8,Atendimento rápido e organizado.,Nenhum problema
FB0803,AT6736,20/05/2026,SOC185,4,Falha no repasse de dados entre equipes.,Falha de comunicação
FB0804,AT2077,17/12/2024,SOC152,8,Equipe demonstrou excelente preparo.,Nenhum problema
FB0805,AT2520,14/01/2025,SOC022,8,Equipe demonstrou grande eficiência.,Nenhum problema
FB0806,AT2507,06/01/2025,SOC063,9,Resposta rápida e comunicação clara.,Nenhum problema
FB0807,AT0351,25/07/2026,SOC155,8,Equipe preparada para situação crítica.,Nenhum problema
FB0808,AT2513,20/01/2025,SOC255,2,Paciente não resistiu aos ferimentos.,Morte acidental
FB0809,AT1885,31/12/2024,SOC080,9,Procedimento realizado de forma segura.,Nenhum problema
FB0810,AT1947,07/12/2024,SOC006,9,Procedimento padrão seguido corretamente.,Nenhum problema
FB0811,AT0330,16/05/2026,SOC131,9,Bom trabalho em equipe durante o socorro.,Nenhum problema
FB0812,AT5299,14/10/2025,SOC034,8,Suporte adequado durante todo o atendimento.,Nenhum problema
